Term,Interest Rate (%),PMI (%),Insurance (%),Down Payment (%),Closing Costs (%),Monthly Expenses,30GroveSt Mortgage,30GroveSt Rent
30,0.0475,0.0085,0.004,0.035,0.01,536.96,2598.28,3200
Term,Interest Rate (%),PMI (%),Insurance (%),Down Payment (%),Closing Costs (%),Monthly Expenses,30GroveSt Mortgage,30GroveSt Rent
30,0.0475,0.0085,0.004,0.035,0.01,536.96,2598.28,3200
Term,Interest Rate (%),PMI (%),Insurance (%),Down Payment (%),Closing Costs (%),Monthly Expenses,30GroveSt Mortgage,30GroveSt Rent
30,0.0475,0.0085,0.004,0.035,0.01,536.96,2598.28,3200
