SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),62 Bates,Revere,MA,02151,799900,5,2.0,Revere,2627,4186,1962,3,304,,Active,May-7-2022 12:00 PM,May-7-2022 02:00 PM,https://www.redfin.com/MA/Revere/62-Bates-St-02151/home/9032864,MLS PIN,72974780,N,Y,42.4201378,-70.9981681
MLS Listing,,Multi-Family (2-4 Unit),49-53 Capen St,Stoughton,MA,02072,699900,6,4.0,Stoughton,3786,7435,1930,4,185,,Active,May-7-2022 12:00 PM,May-7-2022 02:00 PM,https://www.redfin.com/MA/Stoughton/49-Capen-St-02072/home/11732123,MLS PIN,72974586,N,Y,42.1236298,-71.099253
MLS Listing,,Multi-Family (2-4 Unit),48 Middlesex St,Chelmsford,MA,01863,750000,8,2.0,Chelmsford,3260,25285,1870,4,230,,Active,May-5-2022 05:00 PM,May-5-2022 06:30 PM,https://www.redfin.com/MA/North-Chelmsford/48-Middlesex-St-01863/home/11561784,MLS PIN,72973083,N,Y,42.6384679,-71.3793525
MLS Listing,,Multi-Family (2-4 Unit),23 Ledge Hill Rd,Boston,MA,02132,995000,4,3.0,West Roxbury,2146,5400,1965,6,464,,Active,May-7-2022 12:00 PM,May-7-2022 02:00 PM,https://www.redfin.com/MA/Boston/23-Ledge-Hill-Rd-02132/home/9218020,MLS PIN,72974287,N,Y,42.2727019,-71.169429
MLS Listing,,Multi-Family (5+ Unit),101 Central St,Lowell,MA,01851,975000,7,6.0,Downtown,6157,,1920,6,158,,Active,,,https://www.redfin.com/MA/Lowell/101-Central-St-01852/home/11643096,MLS PIN,72974246,N,Y,42.6440997,-71.3086241
MLS Listing,,Multi-Family (2-4 Unit),82 Bellflower Rd,Billerica,MA,01821,830000,7,5.5,Billerica,4976,18436,1930,6,167,,Active,,,https://www.redfin.com/MA/Billerica/82-Bellflower-Rd-01821/home/11392137,MLS PIN,72974079,N,Y,42.5644827,-71.2176047
MLS Listing,,Multi-Family (2-4 Unit),132 North St,Foxboro,MA,02035,675000,6,2.0,Foxboro,2711,12196,1940,6,249,,Active,,,https://www.redfin.com/MA/Foxborough/132-North-St-02035/home/11707641,MLS PIN,72973992,N,Y,42.0918498,-71.2570969
MLS Listing,,Multi-Family (2-4 Unit),38 Cottage St,Norwood,MA,02062,900000,5,3.5,Norwood,3940,13854,1880,6,228,,Active,,,https://www.redfin.com/MA/Norwood/38-Cottage-St-02062/home/11716627,MLS PIN,72973932,N,Y,42.1941583,-71.2027535
MLS Listing,,Multi-Family (2-4 Unit),64 Foster St,Boston,MA,02135,899000,4,3.0,Boston,1594,1749,1900,7,564,,Active,,,https://www.redfin.com/MA/Brighton/64-Foster-St-02135/home/9035749,MLS PIN,72973752,N,Y,42.3485418,-71.1571355
MLS Listing,,Multi-Family (5+ Unit),52-54 Bedford St,Waltham,MA,02453,895000,10,3.0,Waltham,3270,5001,1900,7,274,,Active,,,https://www.redfin.com/MA/Waltham/52-Bedford-St-02453/home/179250303,MLS PIN,72973667,N,Y,42.3715692,-71.2489064
MLS Listing,,Multi-Family (2-4 Unit),479 School St,Stoughton,MA,02072,750000,4,2.0,Stoughton,2313,169884,1900,7,324,,Active,,,https://www.redfin.com/MA/Stoughton/479-School-St-02072/home/11729263,MLS PIN,72973438,N,Y,42.1222055,-71.117441
MLS Listing,,Multi-Family (2-4 Unit),42 Warren St,Revere,MA,02151,850000,5,2.0,Revere,2150,3999,1963,7,395,,Active,May-7-2022 11:00 AM,May-7-2022 01:00 PM,https://www.redfin.com/MA/Revere/42-Warren-St-02151/home/9036052,MLS PIN,72973088,N,Y,42.4103773,-71.0171695
MLS Listing,,Multi-Family (2-4 Unit),22 Laval St,Boston,MA,02136,889000,11,5.0,Hyde Park,3384,5332,1920,8,263,,Active,,,https://www.redfin.com/MA/Boston/22-Laval-St-02136/home/9126317,MLS PIN,72973011,N,Y,42.2632801,-71.1192514
MLS Listing,,Multi-Family (2-4 Unit),203 Gibson St,Lowell,MA,01851,699000,5,4.0,Lowell,3531,7887,1900,8,198,,Active,,,https://www.redfin.com/MA/Lowell/203-Gibson-St-01851/home/11616427,MLS PIN,72972852,N,Y,42.6330397,-71.3393629
MLS Listing,,Multi-Family (2-4 Unit),69 Ellerton St,Revere,MA,02151,717977,5,3.0,Oak Island,2204,4199,1910,8,326,,Active,,,https://www.redfin.com/MA/Revere/69-Ellerton-St-02151/home/9017109,MLS PIN,72972803,N,Y,42.4223142,-70.9876118
MLS Listing,,Multi-Family (2-4 Unit),28 Ellerton St,Revere,MA,02151,919990,6,3.0,Revere,2746,3202,1930,8,335,,Active,,,https://www.redfin.com/MA/Revere/28-Ellerton-St-02151/home/9017363,MLS PIN,72972586,N,Y,42.423179,-70.9865129
MLS Listing,,Multi-Family (2-4 Unit),8-10 Brentwood St,Boston,MA,02134,875000,5,2.5,Allston,3153,4060,1925,8,278,,Active,May-7-2022 12:00 PM,May-7-2022 02:00 PM,https://www.redfin.com/MA/Boston/8-Brentwood-St-02134/home/8993360,MLS PIN,72972553,N,Y,42.3609569,-71.1358788
MLS Listing,,Multi-Family (2-4 Unit),36 Gage,Revere,MA,02151,965000,7,5.0,Revere,3192,4356,2003,8,302,,Active,,,https://www.redfin.com/MA/Revere/36-Gage-Ave-02151/home/9052221,MLS PIN,72972416,N,Y,42.4205437,-71.0069302
MLS Listing,,Multi-Family (2-4 Unit),243 Lincoln St,Revere,MA,02151,859000,4,2.0,Revere,2257,5001,1968,8,381,,Active,May-5-2022 05:00 PM,May-5-2022 06:30 PM,https://www.redfin.com/MA/Revere/243-Lincoln-St-02151/home/9045788,MLS PIN,72972190,N,Y,42.4163381,-71.0226782
MLS Listing,,Multi-Family (2-4 Unit),327 Walker St,Lowell,MA,01851,699900,8,4.0,Highlands,4640,9636,1900,9,151,,Active,May-7-2022 01:00 PM,May-7-2022 03:00 PM,https://www.redfin.com/MA/Lowell/327-Walker-St-01851/home/11622112,MLS PIN,72971958,N,Y,42.6377929,-71.3295064
MLS Listing,,Multi-Family (2-4 Unit),259 Grover St,Revere,MA,02151,899900,6,3.0,Revere,4514,8886,1920,9,199,,Active,May-7-2022 11:00 AM,May-7-2022 12:30 PM,https://www.redfin.com/MA/Revere/259-Grover-St-02151/home/11835181,MLS PIN,72971895,N,Y,42.4282888,-71.0208215
MLS Listing,,Multi-Family (2-4 Unit),4 Elbow St,Boston,MA,02128,849000,6,3.0,East Boston's Jeffries Point,2400,1216,1900,10,354,,Active,,,https://www.redfin.com/MA/Boston/4-Elbow-St-02128/home/9116402,MLS PIN,72971230,N,Y,42.3708402,-71.0384209
MLS Listing,,Multi-Family (2-4 Unit),546 Saratoga St,Boston,MA,02128,1000000,8,7.0,East Boston's Eagle Hill,3840,1800,2022,12,260,,Active,,,https://www.redfin.com/MA/Boston/546-Saratoga-St-02128/home/9114149,MLS PIN,72970735,N,Y,42.3809426,-71.0251572
MLS Listing,,Multi-Family (2-4 Unit),233 Walnut St,Chelsea,MA,02150,799000,6,3.0,Chelsea,3126,1783,1920,14,256,,Active,,,https://www.redfin.com/MA/Chelsea/233-Walnut-St-02150/home/9010048,MLS PIN,72970226,N,Y,42.3946421,-71.0344447
MLS Listing,,Multi-Family (2-4 Unit),127 Harrishof St,Boston,MA,02121,800000,9,3.0,Roxbury,3029,1675,1900,14,264,,Active,,,https://www.redfin.com/MA/Boston/127-Harrishof-St-02121/home/9224085,MLS PIN,72970196,N,Y,42.3172153,-71.0895883
MLS Listing,,Multi-Family (2-4 Unit),13-15 Russell Ter,Belmont,MA,02478,999999,4,2.0,Belmont,1702,6753,1910,14,588,,Active,,,https://www.redfin.com/MA/Belmont/13-Russell-Ter-02478/home/8432191,MLS PIN,72969861,N,Y,42.38097,-71.1878786
MLS Listing,,Multi-Family (2-4 Unit),190 Glendale Rd,Quincy,MA,02169,889000,4,2.0,Quincy,2168,5575,1910,14,410,,Active,,,https://www.redfin.com/MA/Quincy/190-Glendale-Rd-02169/home/8932356,MLS PIN,72969627,N,Y,42.2485859,-71.0075013
MLS Listing,,Multi-Family (2-4 Unit),75 FULTON St,Medford,MA,02155,979000,5,3.0,Medford,2932,3033,1890,14,334,,Active,May-7-2022 12:00 PM,May-7-2022 01:00 PM,https://www.redfin.com/MA/Medford/75-Fulton-St-02155/home/11787797,MLS PIN,72969610,N,Y,42.422973,-71.1016662
MLS Listing,,Multi-Family (2-4 Unit),17-19 Dee Rd,Quincy,MA,02169,799000,6,2.0,Quincy,2063,4410,1920,15,387,,Active,,,https://www.redfin.com/MA/Quincy/17-Dee-Rd-02169/home/8936843,MLS PIN,72969513,N,Y,42.2462595,-70.9717489
MLS Listing,,Multi-Family (2-4 Unit),99-101 Lincoln St,Lowell,MA,01851,599900,6,2.0,Highlands,2732,3332,1920,15,220,,Active,,,https://www.redfin.com/MA/Lowell/99-Lincoln-St-01851/home/11634830,MLS PIN,72969237,N,Y,42.6294614,-71.3188567
MLS Listing,,Multi-Family (2-4 Unit),141 Chelsea St,Boston,MA,02128,450000,4,3.0,East Boston,3023,1400,1900,15,149,,Active,,,https://www.redfin.com/MA/Boston/141-Chelsea-St-02128/home/9116795,MLS PIN,72969086,N,Y,42.373211,-71.03459
MLS Listing,,Multi-Family (2-4 Unit),16 6th Ave,Quincy,MA,02169,779000,6,3.0,Quincy,1930,6837,1900,15,404,,Active,May-7-2022 11:00 AM,May-7-2022 01:00 PM,https://www.redfin.com/MA/Quincy/16-6th-Ave-02169/home/8946453,MLS PIN,72969056,N,Y,42.246641,-70.9794546
MLS Listing,,Multi-Family (2-4 Unit),77 Carroll St,Chelsea,MA,02150,899000,5,3.0,Chelsea,2612,5000,1925,15,344,,Active,,,https://www.redfin.com/MA/Chelsea/77-Carroll-St-02150/home/9017380,MLS PIN,72968662,N,Y,42.4010296,-71.0158099
MLS Listing,,Multi-Family (2-4 Unit),60 Devon St,Boston,MA,02121,975000,8,3.0,Dorchester,3874,3970,1900,16,252,,Active,May-7-2022 12:30 PM,May-7-2022 02:30 PM,https://www.redfin.com/MA/Boston/60-Devon-St-02121/home/9068817,MLS PIN,72968379,N,Y,42.310347,-71.0800252
MLS Listing,,Multi-Family (2-4 Unit),82 Marlborough St,Chelsea,MA,02150,739900,6,2.0,Chelsea,2262,3520,1930,16,327,,Active,May-7-2022 01:00 PM,May-7-2022 02:30 PM,https://www.redfin.com/MA/Chelsea/82-Marlborough-St-02150/home/9010580,MLS PIN,72968388,N,Y,42.3928214,-71.0295992
MLS Listing,,Multi-Family (2-4 Unit),18 Intervale St,Revere,MA,02151,865000,6,3.5,Revere,2486,6399,1951,16,348,,Active,May-7-2022 12:00 PM,May-7-2022 02:00 PM,https://www.redfin.com/MA/Revere/18-Intervale-St-02151/home/9019198,MLS PIN,72968253,N,Y,42.4247531,-70.9871303
MLS Listing,,Multi-Family (2-4 Unit),24-26 Taylor St,Waltham,MA,02453,936000,6,4.0,Waltham,3087,5001,1870,17,303,,Active,,,https://www.redfin.com/MA/Waltham/24-Taylor-St-02453/home/11817085,MLS PIN,72967831,N,Y,42.3701296,-71.2358709
MLS Listing,,Multi-Family (2-4 Unit),268 Breman St,Boston,MA,02128,974900,10,8.0,East Boston's Eagle Hill,4666,2000,2022,17,209,,Active,,,https://www.redfin.com/MA/Boston/268-Bremen-St-02128/home/9117727,MLS PIN,72967729,N,Y,42.3752719,-71.0316801
MLS Listing,,Multi-Family (2-4 Unit),91 Pine Grove Ave,Bellingham,MA,02019,425900,4,2.0,Bellingham,1536,16700,1955,17,277,,Active,,,https://www.redfin.com/MA/Bellingham/91-Pine-Grove-Ave-02019/home/11698176,MLS PIN,72967582,N,Y,42.0277945,-71.4838638
MLS Listing,,Multi-Family (2-4 Unit),6 Mascoma St,Boston,MA,02121,900000,6,3.0,Dorchester,3414,10358,1905,18,264,,Active,,,https://www.redfin.com/MA/Boston/6-Mascoma-St-02121/home/11732439,MLS PIN,72967473,N,Y,42.3124073,-71.0746839
MLS Listing,,Multi-Family (2-4 Unit),41 Delard St,Lowell,MA,01850,629900,6,2.0,Lowell,2350,3964,1925,20,268,,Active,,,https://www.redfin.com/MA/Lowell/41-Delard-St-01850/home/11637276,MLS PIN,72967119,N,Y,42.6538429,-71.3092982
MLS Listing,,Multi-Family (2-4 Unit),39 Cedar St,Framingham,MA,01702,599900,5,2.0,Framingham,2035,2087,1892,22,295,,Active,,,https://www.redfin.com/MA/Framingham/39-Cedar-St-01702/home/11593958,MLS PIN,72966576,N,Y,42.2742901,-71.4212859
MLS Listing,,Multi-Family (2-4 Unit),6-8 Lewis St,Maynard,MA,01754,399000,4,2.0,Maynard,1350,13660,1934,24,296,,Active,,,https://www.redfin.com/MA/Maynard/6-8-Lewis-St-01754/home/11407241,MLS PIN,72965561,N,Y,42.4380418,-71.4507384
MLS Listing,,Multi-Family (2-4 Unit),12 SUPPLE Rd,Boston,MA,02121,999999,9,3.0,Boston,4001,7748,1935,24,250,,Active,May-7-2022 02:00 PM,May-7-2022 04:00 PM,https://www.redfin.com/MA/Boston/12-Supple-Rd-02121/home/9077528,MLS PIN,72965512,N,Y,42.3053373,-71.0818416
MLS Listing,,Multi-Family (2-4 Unit),30 Homes Ave,Boston,MA,02122,924999,8,3.0,Dorchester's Fields Corner,3621,5153,1910,27,255,,Active,,,https://www.redfin.com/MA/Boston/30-Homes-Ave-02122/home/9074420,MLS PIN,72964953,N,Y,42.3029007,-71.0699046
MLS Listing,,Multi-Family (2-4 Unit),201-203 Pleasant St,Dracut,MA,01826,649900,8,3.0,Dracut,2840,35000,1920,27,229,,Active,,,https://www.redfin.com/MA/Dracut/201-Pleasant-St-01826/home/11380162,MLS PIN,72964886,N,Y,42.6642483,-71.3176787
MLS Listing,,Multi-Family (2-4 Unit),36-38 Crosby St,Lowell,MA,01852,799000,9,3.0,Lowell,3202,5930,1900,27,250,,Active,,,https://www.redfin.com/MA/Lowell/36-Crosby-St-01852/home/147072455,MLS PIN,72964567,N,Y,42.6337116,-71.3072567
MLS Listing,,Multi-Family (2-4 Unit),31 Rosedale St,Boston,MA,02124,779000,4,3.5,Dorchester's Codman Square,2690,5039,1900,27,290,,Active,,,https://www.redfin.com/MA/Boston/31-Rosedale-St-02124/home/9073278,MLS PIN,72964565,N,Y,42.292536,-71.0734315
MLS Listing,,Multi-Family (2-4 Unit),1070 Middlesex St,Lowell,MA,01851,449000,6,2.0,Highlands,2264,1631,1900,28,198,,Active,,,https://www.redfin.com/MA/Lowell/1070-Middlesex-St-01851/home/11621612,MLS PIN,72963826,N,Y,42.6384775,-71.3298894
MLS Listing,,Multi-Family (2-4 Unit),48-50 Waldemar Ave,Winthrop,MA,02152,890000,8,3.0,Winthrop,4718,7500,1900,29,189,,Active,,,https://www.redfin.com/MA/Winthrop/48-Waldemar-Ave-02152/home/11515139,MLS PIN,72963687,N,Y,42.3752863,-70.9902051
MLS Listing,,Multi-Family (2-4 Unit),78 Everett St,Boston,MA,02128,880000,6,3.0,Boston,2629,2250,1900,29,335,,Active,,,https://www.redfin.com/MA/Boston/78-Everett-St-02128/home/9115977,MLS PIN,72963669,N,Y,42.367661,-71.0346988
MLS Listing,,Multi-Family (2-4 Unit),27 High St,Weymouth,MA,02189,989900,6,2.0,Weymouth,2234,8900,1883,29,443,,Active,,,https://www.redfin.com/MA/Weymouth/27-High-St-02189/home/11519570,MLS PIN,72963648,N,Y,42.2149116,-70.9210558
MLS Listing,,Multi-Family (2-4 Unit),171 Magnolia St,Boston,MA,02125,899000,6,3.0,Dorchester,2492,3347,1900,9,361,,Active,May-7-2022 01:30 PM,May-7-2022 03:00 PM,https://www.redfin.com/MA/Boston/171-Magnolia-St-02125/home/9070140,MLS PIN,72963555,N,Y,42.3131215,-71.0727804
MLS Listing,,Multi-Family (2-4 Unit),19 Acton St,Maynard,MA,01754,369900,4,2.5,Maynard,1734,4783,1900,29,213,,Active,,,https://www.redfin.com/MA/Maynard/19-Acton-St-01754/home/11409466,MLS PIN,72963358,N,Y,42.4339496,-71.4504601
MLS Listing,,Multi-Family (2-4 Unit),7 Tip Top St,Boston,MA,02135,999500,4,2.0,Brighton,2772,3200,1925,29,361,,Active,May-8-2022 12:00 PM,May-8-2022 01:30 PM,https://www.redfin.com/MA/Boston/7-Tip-Top-St-02135/home/9040590,MLS PIN,72963386,N,Y,42.3510949,-71.170178
MLS Listing,,Multi-Family (2-4 Unit),333-333A Meridian St,Boston,MA,02128,800000,4,3.0,East Boston,2778,1250,1925,29,288,,Active,,,https://www.redfin.com/MA/Boston/333-Meridian-St-02128/unit-333A/home/9119125,MLS PIN,72963212,N,Y,42.3781506,-71.0390284
MLS Listing,,Multi-Family (2-4 Unit),25 Monroe,Malden,MA,02150,760000,5,2.0,Malden,1876,3979,1900,30,405,,Active,,,https://www.redfin.com/MA/Malden/25-Monroe-St-02148/home/11426020,MLS PIN,72962720,N,Y,42.4306325,-71.0258885
MLS Listing,,Multi-Family (2-4 Unit),15-R Dacia St,Boston,MA,02125,899900,6,3.0,Dorchester's Grove Hall,2796,4800,1905,30,322,,Active,,,https://www.redfin.com/MA/Boston/15R-Dacia-St-02125/home/178780783,MLS PIN,72962314,N,Y,42.3145047,-71.0769595
MLS Listing,,Multi-Family (2-4 Unit),40 Belmont St,Malden,MA,02148,975000,7,3.0,Malden,2656,4852,1900,30,367,,Active,May-7-2022 11:00 AM,May-7-2022 01:00 PM,https://www.redfin.com/MA/Malden/40-Belmont-St-02148/home/11402660,MLS PIN,72962327,N,Y,42.4157129,-71.0626186
MLS Listing,,Multi-Family (2-4 Unit),15 Dacia St,Boston,MA,02125,899900,6,3.0,Dorchester's Grove Hall,3324,2800,1900,30,271,,Active,,,https://www.redfin.com/MA/Boston/15-Dacia-St-02125/home/9067556,MLS PIN,72962313,N,Y,42.3145695,-71.0773371
MLS Listing,,Multi-Family (2-4 Unit),68 Murray St,Chelsea,MA,02150,729000,6,2.0,Prattville,2424,3917,1915,30,301,,Active,,,https://www.redfin.com/MA/Chelsea/68-Murray-St-02150/home/9019839,MLS PIN,72962162,N,Y,42.4045979,-71.0329012
MLS Listing,,Multi-Family (2-4 Unit),241 Beech St,Boston,MA,02131,875000,5,2.0,Roslindale,2148,4718,1920,31,407,,Active,May-7-2022 12:00 PM,May-7-2022 01:30 PM,https://www.redfin.com/MA/Boston/241-Beech-St-02131/home/9183674,MLS PIN,72961703,N,Y,42.2804801,-71.14079
MLS Listing,,Multi-Family (2-4 Unit),48 PLEASANT St,Ayer,MA,01432,470000,4,2.0,Ayer,2311,6360,1890,31,203,,Active,,,https://www.redfin.com/MA/Ayer/48-Pleasant-St-01432/home/11371535,MLS PIN,72961578,N,Y,42.5628176,-71.5876135
MLS Listing,,Multi-Family (2-4 Unit),108 Train St,Boston,MA,02122,950000,5,2.0,Dorchester,2750,3203,1915,33,345,,Active,,,https://www.redfin.com/MA/Boston/108-Train-St-02122/home/11505428,MLS PIN,72961355,N,Y,42.2921691,-71.053654
MLS Listing,,Multi-Family (2-4 Unit),815 Washington St,Stoughton,MA,02072,800000,5,3.0,Stoughton,2586,7320,1930,34,309,,Active,,,https://www.redfin.com/MA/Stoughton/815-Washington-St-02072/home/11732361,MLS PIN,72961168,N,Y,42.1234869,-71.1017504
MLS Listing,,Multi-Family (2-4 Unit),149 Revere,Winthrop,MA,02152,929000,5,3.5,Winthrop,3000,3100,1900,34,310,,Active,,,https://www.redfin.com/MA/Winthrop/149-Revere-St-02152/home/11519291,MLS PIN,72960990,N,Y,42.3842918,-70.9781079
MLS Listing,,Multi-Family (2-4 Unit),149-151 Lexington St,Watertown,MA,02472,925000,5,2.0,Watertown,2300,3907,1918,31,402,,Active,,,https://www.redfin.com/MA/Watertown/149-Lexington-St-02472/home/11686073,MLS PIN,72960808,N,Y,42.3744798,-71.1931897
